CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;ROADNAME;FIRSTNAME;SECONDNAME;AREA_REF;AREA_NAME;ROA_LCD;ROA_TYPE;NEG_OFF;POS_OFF
11;25;832;L;3;0;I/44;;Mohelnice;Šumperk;166;Šumperk;363;L1.2;0;833
11;25;833;L;3;0;I/44;;Šumperk;Prudnik (PL);91;Olomoucký kraj;363;L1.2;832;0
11;25;866;L;3;0;II/437;;Olomouc;Lipník nad Beèvou;91;Olomoucký kraj;9521;L1.3;0;867
11;25;867;L;3;0;II/437;;Lipník nad Beèvou;Vsetín;56;Støední Morava;9521;L1.3;866;0
11;25;718;L;3;0;I/57;;Trenèín (SK);Valašské Meziøíèí;92;Zlínský kraj;376;L1.2;0;719
11;25;719;L;3;0;I/57;;Valašské Meziøíèí;Opava;10;Èesko;376;L1.2;718;720
11;25;720;L;3;0;I/57;;Opava;Prudnik (PL);93;Moravskoslezský kraj;376;L1.2;719;0
11;25;656;L;3;0;I/16;;Karlovy Vary;Mìlník;81;Støedoèeský kraj;335;L1.2;0;657
11;25;657;L;3;0;I/16;;Mìlník;Mladá Boleslav;81;Støedoèeský kraj;335;L1.2;656;658
11;25;658;L;3;0;I/16;;Mladá Boleslav;Jièín;10;Èesko;335;L1.2;657;659
11;25;659;L;3;0;I/16;;Jièín;Trutnov;54;Severovýchod;335;L1.2;658;745
11;25;745;L;3;0;I/16;;Trutnov;Kamienna Góra (PL);145;Trutnov;335;L1.2;659;0
11;25;28223;L;3;0;D4;;Nová Hospoda;Pøíbram;10;Èesko;35678;L1.1;0;631
11;25;631;L;3;0;D4;;Pøíbram;Praha;81;Støedoèeský kraj;35678;L1.1;28223;0
11;25;805;L;3;0;I/49;;Otrokovice;Zlín-Štemberská;170;Zlín;368;L1.2;0;806
11;25;806;L;3;0;I/49;;Zlín-Štemberská;Zlín-Panèava;33493;Zlín;368;L1.2;805;854
11;25;854;L;3;0;I/49;;Zlín-Panèava;Púchov (SK);92;Zlínský kraj;368;L1.2;806;0
11;25;37596;L;3;0;I/14;;Liberec;Jablonec nad Nisou;86;Liberecký kraj;333;L1.2;0;652
11;25;652;L;3;0;I/14;;Jablonec nad Nisou;Tanvald;138;Jablonec nad Nisou;333;L1.2;37596;37588
11;25;37588;L;3;0;I/14;;Harrachov;Trutnov;54;Severovýchod;333;L1.2;652;653
11;25;653;L;3;0;I/14;;Trutnov;Svitavy;54;Severovýchod;333;L1.2;37588;0
11;25;629;L;3;0;I/4;;Passau (D);Strakonice;82;Jihoèeský kraj;324;L1.2;0;630
11;25;630;L;3;0;I/4;;Strakonice;Nová Hospoda;82;Jihoèeský kraj;324;L1.2;629;28224
11;25;28224;L;3;0;I/4;;Radobytce;Pøíbram;10;Èesko;324;L1.2;630;35684
11;25;35684;L;3;0;I/4;;Jílovištì;Praha;10;Èesko;324;L1.2;28224;0
11;25;25946;L;3;0;II/198;;Eslarn (D);Planá;83;Plzeòský kraj;9138;L1.3;0;25947
11;25;25947;L;3;0;II/198;;Závišín;Bochov;84;Karlovarský kraj;9138;L1.3;25946;0
11;25;847;L;3;0;II/602;;Pelhøimov;Jihlava;89;Vysoèina;570;L1.3;0;848
11;25;848;L;3;0;II/602;;Jihlava;Brno;55;Jihovýchod;570;L1.3;847;0
11;25;654;L;3;0;I/15;;Most;Litomìøice;85;Ústecký kraj;334;L1.2;0;655
11;25;655;L;3;0;I/15;;Litomìøice;Èeská Lípa;10;Èesko;334;L1.2;654;0
11;25;645;L;3;0;I/11;;Podìbrady;Hradec Králové;10;Èesko;330;L1.2;0;646
11;25;646;L;3;0;I/11;;Hradec Králové;Šumperk;10;Èesko;330;L1.2;645;647
11;25;647;L;3;0;I/11;;Šumperk;Ostrava-Poruba;10;Èesko;330;L1.2;646;20059
11;25;20059;L;3;0;I/11;;Ostrava-Poruba;Ostrava-Radvanice;31014;Ostrava;330;L1.2;647;648
11;25;648;L;3;0;I/11;;Ostrava-Radvanice;Žilina (SK);93;Moravskoslezský kraj;330;L1.2;20059;0
