CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;ROADNAME;FIRSTNAME;SECONDNAME;AREA_REF;AREA_NAME
11;25;48873;L;1;4;III/35522;;Tisovec;Vèelákov;32444;Vèelákov
11;25;27929;L;5;0;;Malšovická;Úprkova;Nezvalova;32194;Hradec Králové
11;25;40135;L;5;0;;Bílinská;Opavská;Lounská;31990;Teplice
11;25;24471;L;5;0;;Klobásová;Elišky Pøemyslovny;Jemelkova;264;Brno-Starı Lískovec
11;25;51986;L;7;0;;;Krè;MO Spoøilov;213;Praha 4
11;25;514;L;5;0;;Partyzánská;U Vıstavištì;Trojskı most;196;Praha 7
11;25;51885;L;7;0;;;Troja;MO Libeò;191;Praha-Troja
11;25;449;L;5;0;;Veletrní;Letná;Holešovice;196;Praha 7
11;25;45763;L;1;4;III/2621;;Heømanièky;Dobranov;31409;Èeská Lípa
11;25;45735;L;7;0;;;D55 Pøerov;I/55 Staré Mìsto-sever;30668;Staré Mìsto
11;25;310;L;5;0;;Vltavská;Ostrovského;Hoøejší nábøeí;206;Praha 5
11;25;35468;L;1;4;III/29021;;Strá nad Nisou;Bedøichov;31657;Liberec
11;25;35595;L;5;0;;Mostecká;centrum;Kaufland;31568;Chomutov
11;25;43413;L;7;0;;;D1 Ostrava;I/52 Brno-centrum;262;Brno-jih
11;25;48976;L;1;4;III/0373;;Hradištì na Písku;Staré dánice;147;Pardubice
11;25;46164;L;1;4;III/14713;;Dolní Bukovsko;Veselí nad Lunicí;82;Jihoèeskı kraj
11;25;1160;L;1;3;II/118;;Petrovice;Beroun;81;Støedoèeskı kraj
11;25;44766;L;7;0;;;Jirny;D11 Praha;29655;Jirny
11;25;51667;L;7;0;;;II/602 Bosonohy;I/23 Praha;264;Brno-Starı Lískovec
11;25;15085;L;1;4;III/15274;;Troubsko;Bosonohy;90;Jihomoravskı kraj
11;25;9604;L;5;0;;Beethovenova;idovskı høbitov;Riegrova;31568;Chomutov
11;25;50648;L;7;0;;;Tuhnice;I/6 Karlovy Vary-centrum;31027;Karlovy Vary
11;25;35973;L;1;2;I/13;Kladrubská spojka;Bílina;Ústí nad Labem;135;Teplice
11;25;35145;L;5;0;;Díly III;Široká;Hornomlınská;33493;Zlín
11;25;50666;L;7;0;;;I/6 Praha;I/6 Cheb;31027;Karlovy Vary
11;25;9762;L;5;0;;Vídeòská;høbitov;nábø. Ladislava Stehny;30238;Jindøichùv Hradec
11;25;40848;L;5;0;;Dukelská;Moravská;Støední škola automobilní;33079;Ústí nad Orlicí
11;25;39309;L;5;0;;Havlíèkova;Kamenná;Ašská;30992;Cheb
11;25;9851;L;5;0;;Malátova;Na Spojce;Na Návsi;31012;Ústí nad Labem
11;25;40444;L;5;0;;Nádraní;Tesco;Sokolovská;32753;Rychnov nad Knìnou
11;25;51603;L;7;0;;;Bystøice;I/11 Jablunkov;34588;Bystøice
11;25;52497;L;5;0;;Studentská;Jana Palacha;Masarykova;34674;Bohumín
11;25;9848;L;5;0;;Bìlehradská;Rosseveltova;Sociální péèe;31012;Ústí nad Labem
11;25;53696;L;5;0;;Moravská;Rybnièní;Saská;30993;Aš
11;25;28055;L;1;4;III/29813;;Vysoká nad Labem;Opatovice nad Labem;54;Severovıchod
11;25;15334;L;1;4;III/00312;;Èestlice;Øíèany;109;Praha-vıchod
11;25;49259;L;1;4;III/36080;;Popovice;Šebkovice;153;Tøebíè
11;25;52008;L;7;0;;;MO Vršovice;Praha-centrum;213;Praha 4
11;25;51711;L;7;0;;;I/42 Praha;II/384 Bystrc;252;Brno-abovøesky
11;25;45030;L;7;0;;;Køelov;D35 Hradec Králové;31021;Køelov-Bøuchotín
11;25;39541;L;5;0;;Roudnická;Litomìøická;Zelená;31504;Dìèín
11;25;53772;L;5;0;;Pionırská;Bavlnáøská;Dr. Ed. Beneše;32609;Jaromìø
11;25;37103;L;1;4;III/27212;;Straky;Benátky nad Jizerou;81;Støedoèeskı kraj
11;25;53328;L;5;0;;U Jízdárny;Jabloòová;Praská;29602;Podìbrady
11;25;40486;L;5;0;;Nad Zvonicí;Janáèkova;Kolowratská;32753;Rychnov nad Knìnou
11;25;26485;L;1;3;II/608H;;Lovosice;Bílinka;132;Litomìøice
11;25;20045;L;5;0;;Dr. Slabihoudka;K Myslivnì;Studentská;31014;Ostrava
11;25;38308;L;1;4;III/27517;;Nymburk;Mcely;108;Nymburk
11;25;9779;L;1;4;III/4688;;Karviná-nemocnice;Karviná-nádraí;34662;Karviná
11;25;21191;L;1;1;D55;;Bøeclav;Hulín;10;Èesko
11;25;50632;L;7;0;;;II/222 Chodov;I/6 Karlovy Vary;31027;Karlovy Vary
11;25;44158;L;7;0;;;D5 Plzeò;II/605 Rudná;29012;Rudná
11;25;41770;L;5;0;;Legionáøù;Masarykovo nám.;Oèovská;33558;Hodonín
11;25;35063;L;1;4;III/2982;;Spojil;Pardubice;147;Pardubice
11;25;41518;L;5;0;;Hybešova;Masarykova;Seifertova;33175;Blansko
11;25;9814;L;1;4;III/29912;;Hradec Králové;Pøedmìøice nad Labem;141;Hradec Králové
11;25;51259;L;7;0;;;II/324 Hrobice;I/37 Pardubice;32683;Hrobice
11;25;35980;L;1;4;III/16316;;Pøední Vıtoò;Louèovice;114;Èeskı Krumlov
11;25;43751;L;7;0;;;Roudné;D3 Kaplice;30155;Roudné
11;25;43471;L;7;0;;;D46 Olomouc;D1 Kromìøí;34151;Vyškov
11;25;39744;L;5;0;;Edisonova;toèna trolejbusù;Kochova;31568;Chomutov
11;25;24566;L;5;0;;Šárka;Návrší Svobody;Antonína Procházky;257;Brno-Kohoutovice
11;25;9048;L;5;0;;Ocelkova;Lehovec;Èernı Most;31010;Hl. m. Praha
11;25;43683;L;7;0;;;D2 Bratislava (SK);I/55 Bøeclav;33426;Bøeclav
11;25;41356;L;5;0;;Jiráskova;Štefánikova;Køíkovského;33941;Tøebíè
11;25;43205;L;7;0;;;Èestlice;D1 Praha;29645;Èestlice
11;25;45099;L;7;0;;;I/35 Pøáslavice;D35 Ostrava;30798;Svésedlice
11;25;46014;L;7;0;;;D4 Praha;Mirotice;30553;Mirotice
11;25;44150;L;7;0;;;D5 Plzeò;Lodìnice;28986;Lodìnice
11;25;53707;L;5;0;;Dobrovského;Buková;Dlouhá;30993;Aš
11;25;42754;L;1;4;III/0578;;OPAVIA;Wiechovice (PL);28563;Opava
11;25;52845;L;5;0;;Kaunicova;Mariánské nám.;Bøí Luù;34138;Uherskı Brod
11;25;393;L;5;0;;Prùmyslová;Hostivaø;Hloubìtín;31010;Hl. m. Praha
11;25;41295;L;5;0;;Cyrilometodìjská;Smila Osovského;Brnìnská;33941;Tøebíè
11;25;27586;L;1;4;III/00354;;Kamennı Újezd-západ;Èeské Budìjovice;113;Èeské Budìjovice
11;25;44734;L;7;0;;;II/279 Svijany;D10 Praha;31711;Svijany
11;25;9176;L;1;3;II/236;;Zdice;Slanı;81;Støedoèeskı kraj
11;25;42926;L;5;0;;ikova;Jaselská;Krnovská;28563;Opava
11;25;27535;L;5;0;;Drustevní;A. Køíe;U Lávky;30084;Èeské Budìjovice
11;25;51957;L;7;0;;;Prosek;Hloubìtín;194;Praha 9
11;25;45592;L;5;0;;Lodhéøovská;Kopeèek;Radouòka;30238;Jindøichùv Hradec
11;25;9223;L;1;3;II/287;;eleznı Brod;Jablonec nad Nisou;138;Jablonec nad Nisou
11;25;25225;L;5;0;;5. kvìtna;Mánesova;Kpt. Jaroše;31330;Kraslice
11;25;54439;L;5;0;;Sukova;Vıletní;Komenského;31548;Rumburk
11;25;1081;L;5;0;;Dukelskıch hrdinù;nábø. Kapitána Jaroše;U Vıstavištì;196;Praha 7
11;25;52360;L;5;0;;Mostecká;U Autodílen;Valdštejnská;31977;Litvínov
11;25;50810;L;7;0;;;Èeské Zlatníky;I/13 Teplice;31985;Obrnice
11;25;43100;L;5;0;;Svatováclavská;Komenského nám.;Prùmyslová;34075;Uherské Hradištì
11;25;48370;L;1;4;III/3301;;Èeskı Brod;Lstiboø;104;Kolín
11;25;43515;L;7;0;;;D1 Brno;I/55 Hulín-západ;33795;Hulín
11;25;52154;L;5;0;;Rodinná;Myslbekova;Havraní;31032;Havíøov
11;25;9772;L;5;0;;Èapkova;Tìšínská;Fryštátská;31014;Ostrava
11;25;27219;L;5;0;;Dolní;U Studia;U Hrùbkù;31014;Ostrava
11;25;24970;L;5;0;;Na zlaté;Mírovice;Tøeboradice;180;Praha-Èakovice
11;25;37669;L;5;0;;Mladoboleslavská;Bezruèova;Lidl;29304;Mìlník
11;25;43453;L;7;0;;;D1 Brno;Rousínov;34207;Rousínov
11;25;27759;L;1;4;III/25841;;Støekov;Dolní Tınec;85;Ústeckı kraj
11;25;9337;L;1;3;II/410;;Raabs an der Thaya (A);Tøebíè;10;Èesko
11;25;35028;L;5;0;;Studentská;Bìlehradská;Kunìtická;31033;Pardubice
11;25;43800;L;7;0;;;D0 Plzeò;II/101 Øíèany;34599;Modletice
11;25;39145;L;5;0;;Mìchurova;Šmilovského;Kepkova;31073;Klatovy
11;25;37520;L;1;4;III/3682;;Horní Studénky;Klášterec;166;Šumperk
11;25;15352;L;1;4;III/3352;;Senohraby;Mirošovice;109;Praha-vıchod
11;25;15356;L;1;4;III/11127;;Kácov;Šternov;101;Benešov
11;25;15289;L;1;4;III/32718;;Radovesnice II;Hradiško II;104;Kolín
11;25;1106;L;5;0;;Chironova;Starı Lískovec;Kohoutovice;33294;Brno
11;25;43179;L;7;0;;;Brnìnská;Na jelenách;220;Praha 11
11;25;15267;L;5;0;;K Plzenci;Štefánikova;D5;31011;Plzeò
11;25;43646;L;7;0;;;II/470 Severní spoj;D1 Brno;31014;Ostrava
11;25;35462;L;5;0;;Kollárova;Sokolovská;el. stanice;33640;Jihlava
11;25;54139;L;5;0;;Lidická;Prùmyslová;Komenského;28928;Vlašim
11;25;44142;L;7;0;;;D5 Plzeò;II/118 Beroun-vıchod;28945;Beroun
11;25;35727;L;5;0;;Harrachovská;Tovární;Riegrova;31620;Jablonec nad Nisou
11;25;28118;L;5;0;;Hoøická;tø. Karla IV.;Haškova;32194;Hradec Králové
11;25;9164;L;1;3;II/224;;Jesenice;Vejprty;85;Ústeckı kraj
11;25;20296;L;5;0;;V Horkách;Nuselská;Bartoškova;213;Praha 4
11;25;48305;L;1;4;III/32916;;Podìbrady;Pátek;108;Nymburk
11;25;1133;L;5;0;;Tábor;Domalická;Muèednická;33294;Brno
11;25;21185;L;1;4;III/28719;;Turnov;Maršovice;86;Libereckı kraj
11;25;39128;L;5;0;;Hostašova;Národních muèedníkù;Komenského;31073;Klatovy
11;25;45617;L;7;0;;;I/7 Chomutov;Panenskı Tınec;31916;Panenskı Tınec
11;25;53218;L;5;0;;Dìlnická;itavská;Bratislavská;31559;Varnsdorf
11;25;1088;L;5;0;;Vítìzná;Malá Strana;Národní tøída;31010;Hl. m. Praha
11;25;45613;L;7;0;;;D7 Praha;Louny-vıchod;31887;Chlumèany
11;25;52528;L;5;0;;Studentská;Jana Švermy;Dvoøákova;31580;Jirkov
11;25;36415;L;1;4;III/43215;;Kromìøí;Troubky;167;Kromìøí
11;25;45733;L;7;0;;;I/55 Staré Mìsto-sever;D55 Pøerov;30668;Staré Mìsto
11;25;9322;L;1;3;II/393;;Ivanèice;Rapotice;55;Jihovıchod
11;25;38695;L;5;0;;U Høebèince;Semice;Budìjovická;30519;Písek
11;25;43828;L;7;0;;;I/3 Veselí-sever;D3 Praha;31658;íšov
11;25;28204;L;5;0;;Šamánkova;nám. Trní;Masarykova;31657;Liberec
11;25;53813;L;5;0;;Na Voøe dole;Plzeòská;Na Voøe nahoøe;31004;Mariánské Láznì
11;25;40130;L;5;0;;Bystøanská;Bílinská;høbitov Bystøany;31990;Teplice
11;25;42361;L;5;0;;K. H. Máchy;Husitská;Wolkerova;28779;Šumperk
11;25;509;L;5;0;;Letenská;Mánesùv most;Malostranské nám.;199;Praha 1
11;25;51601;L;7;0;;;I/11 Èeskı Tìšín;Bystøice;34588;Bystøice
11;25;46574;L;1;4;III/17214;;Velké Hydèice;Horaïovice;121;Klatovy
11;25;42596;L;5;0;;Èeskoslovenské armády;Hlavní tøída;J. Opletala;34583;Frıdek-Místek
11;25;577;L;1;3;II/152;;Jindøichùv Hradec;Brno;10;Èesko
11;25;45465;L;7;0;;;II/101 Štìchovice;D0 Brno;233;Praha-Zbraslav
11;25;49657;L;1;4;III/37428;;Drnovice;Boskovice;155;Blansko
11;25;52535;L;5;0;;Smetanovy sady;Vinaøická;Tkalcovská;31580;Jirkov
11;25;20028;L;1;4;III/34028;;Jesnièánky;Nemošice;31033;Pardubice
